Joel David Moore,82257,CCH Pounder,25328,Wes Studi,0
Orlando Bloom,150663,Johnny Depp,9107,Jack Davenport,0
Rory Kinnear,0,Christoph Waltz,0,Stephanie Sigman,15523
Christian Bale,56075,Tom Hardy,28551,Joseph Gordon-Levitt,4216319
Rob Walker,0,Doug Walker,1266,placeholder,0
Samantha Morton,19208,Daryl Sabara,22467,Polly Walker,141061
James Franco,83268,J.K. Simmons,180,Kirsten Dunst,477657
Donna Murphy,5041,Brad Garrett,0,M.C. Gainey,0
Robert Downey Jr.,7884478,Chris Hemsworth,2277774,Scarlett Johansson,0
Daniel Radcliffe,5726,Alan Rickman,57891,Rupert Grint,0
Lauren Cohan,1399823,Henry Cavill,12118,Alan D. Purwin,0
Marlon Brando,5365,Kevin Spacey,4749278,Frank Langella,0
Mathieu Amalric,0,Giancarlo Giannini,0,Rory Kinnear,0
Orlando Bloom,150663,Johnny Depp,9107,Jack Davenport,0
Ruth Wilson,0,Johnny Depp,9107,Tom Wilkinson,1966
Christopher Meloni,0,Henry Cavill,12118,Harry Lennix,29432
Pierfrancesco Favino,316267,Peter Dinklage,0,Damiï¿__è™‚n Alcï¿__è™‚zar,0
Robert Downey Jr.,7884478,Chris Hemsworth,2277774,Scarlett Johansson,0
Sam Claflin,933297,Johnny Depp,9107,Stephen Graham,37417
Michael Stuhlbarg,0,Will Smith,390827,Nicole Scherzinger,5718128
Adam Brown,2923,Aidan Turner,68058,James Nesbitt,0
Andrew Garfield,0,Emma Stone,79584,Chris Zylka,0
William Hurt,0,Mark Addy,0,Scott Grimes,57247
Adam Brown,2923,Aidan Turner,68058,James Nesbitt,0
Eva Green,0,Christopher Lee,3457,Kristin Scott Thomas,0
Thomas Kretschmann,0,Naomi Watts,771,Evan Parke,0
Kate Winslet,5773,Leonardo DiCaprio,17149366,Gloria Stuart,0
Scarlett Johansson,0,Robert Downey Jr.,7884478,Chris Evans,5139181
Alexander Skarsgï¿__ç€_rd,0,Liam Neeson,10699,Tadanobu Asano,226780
Judy Greer,88515,Bryce Dallas Howard,72082,Omar Sy,2290703
Helen McCrory,139334,Albert Finney,0,Rory Kinnear,0
James Franco,83268,J.K. Simmons,180,Kirsten Dunst,477657
Jon Favreau,451644,Robert Downey Jr.,7884478,Don Cheadle,469804
Alan Rickman,57891,Johnny Depp,9107,Anne Hathaway,5848
Kelsey Grammer,54661,Hugh Jackman,7721686,Daniel Cudmore,57674
Tyler Labine,31507,Steve Buscemi,0,Sean Hayes,333409
Kevin Dunn,0,Glenn Morshower,1344,Ramon Rodriguez,27532
Sophia Myles,25176,Bingbing Li,6754,Kelsey Grammer,54661
Mila Kunis,0,Tim Holmes,0,James Franco,83268
Andrew Garfield,0,Emma Stone,79584,B.J. Novak,1040413
Olivia Wilde,1832490,Jeff Bridges,160352,James Frain,9571
Thomas Kretschmann,0,Joe Mantegna,600913,Eddie Izzard,4680588
Temuera Morrison,0,Ryan Reynolds,4932325,Taika Waititi,114204
John Ratzenberger,120265,Tom Hanks,12743172,Don Rickles,189553
Bryce Dallas Howard,72082,Christian Bale,56075,Common,3558590
Paul Walker,2638587,Jason Statham,15852,Vin Diesel,42184
Brad Pitt,56075,Peter Capaldi,6019,Mireille Enos,11530
Peter Dinklage,0,Jennifer Lawrence,13156,Hugh Jackman,7721686
Bruce Greenwood,0,Benedict Cumberbatch,1291,Noel Clarke,246911
Ewen Bremner,0,Eddie Marsan,66288,Ralph Brown,14970
Elizabeth Debicki,0,Leonardo DiCaprio,17149366,Steve Bisley,0
Richard Coyle,0,Jake Gyllenhaal,1841,Reece Ritchie,2606
Clifton Collins Jr.,35036,Charlie Hunnam,0,Larry Joe Campbell,3178
Lester Speight,0,Glenn Morshower,1344,Kevin Dunn,0
Ray Winstone,2543,Harrison Ford,25306,Jim Broadbent,0
Jack McGraw,0,A.J. Buckley,0,Peter Sohn,0
John Ratzenberger,120265,Kelly Macdonald,5580,Julie Walters,0
Melissa Roxburgh,0,Sofia Boutella,41770,Lydia Wilson,1657
Fred Willard,121412,John Ratzenberger,120265,Jeff Garlin,0
Dana Ivey,1520,Tzi Ma,0,Noï¿__æ¿ mie Lenoir,0
