ROI,movie_title,plot,plot_sentiment_score,plot_keywords,genre,release_date,duration,director_name,actor_1,actor_1_followers,actor_2,actor_2_followers,actor_3,actor_3_followers,IMDB_Score,num_IMDB_reviews,metacritic_score,budget,gross,language,country,rating,aspect_ratio
2.21,Avatar,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,1,avatar|future|marine|native|paraplegic,Action Adventure Fantasy,18-Dec-09,162,James Cameron,CCH Pounder,25328,Joel David Moore,82257,Wes Studi,0,7.8,918289,83,237000000,237000000,English,USA,PG-13,1.78
0.03,Pirates of the Caribbean: At World's End,Captain Barbossa Will Turner and Elizabeth Swann must sail off the edge of the map navigate treachery and betrayal find Jack Sparrow and make their final alliances for one last decisive battle.,1,goddess|marriage ceremony|marriage proposal|pirate|singapore,Action Adventure Fantasy,25-May-07,169,Gore Verbinski,Johnny Depp,9107,Orlando Bloom,150663,Jack Davenport,0,7.1,490515,50,300000000,300000000,English,USA,PG-13,2.35
-0.18,Spectre,A cryptic message from Bond's past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.,1,bomb|espionage|sequel|spy|terrorist,Action Adventure Thriller,6-Nov-15,148,Sam Mendes,Christoph Waltz,0,Rory Kinnear,0,Stephanie Sigman,15523,6.8,301698,60,245000000,245000000,English,UK,PG-13,2.35
0.79,The Dark Knight Rises,Eight years after the Joker's reign of anarchy the Dark Knight with the help of the enigmatic Selina is forced from his imposed exile to save Gotham City now on the edge of total annihilation from the brutal guerrilla terrorist Bane.,1,deception|imprisonment|lawlessness|police officer|terrorist plot,Action Thriller,20-Jul-12,164,Christopher Nolan,Tom Hardy,28551,Christian Bale,56075,Joseph Gordon-Levitt,4216319,8.5,1201640,78,250000000,250000000,English,USA,PG-13,2.35
?,Star Wars: Episode VII - The Force Awakens,?,2,?,Documentary,18-Dec-15,?,Doug Walker,Doug Walker,1266,Rob Walker,0,?,0,7.2,6,?,?,?,?,,?,?
-0.72,John Carter,Transported to Barsoom a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures he escapes only to encounter Woola and a princess in desperate need of a savior.,1,alien|american civil war|male nipple|mars|princess,Action Adventure Sci-Fi,9-Mar-12,132,Andrew Stanton,Daryl Sabara,22467,Samantha Morton,19208,Polly Walker,141061,6.6,217969,51,263700000,263700000,English,USA,PG-13,2.35
0.3,Spider-Man 3,A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains temptations and revenge.,1,sandman|spider man|symbiote|venom|villain,Action Adventure,4-May-07,139,Sam Raimi,J.K. Simmons,180,James Franco,83268,Kirsten Dunst,477657,6.2,397200,59,258000000,258000000,English,USA,PG-13,2.35
-0.23,Tangled,The magically long-haired Rapunzel has spent her entire life in a tower but now that a runaway thief has stumbled upon her she is about to discover the world for the first time and who she really is.,1,17th century|based on fairy tale|disney|flower|tower,Animation Adventure Comedy,24-Nov-10,100,Nathan Greno,Brad Garrett,0,Donna Murphy,5041,M.C. Gainey,0,7.8,308934,71,260000000,260000000,English,USA,PG,1.85
0.84,Avengers: Age of Ultron,When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron things go horribly wrong and it's up to Earth's Mightiest Heroes to stop the villainous Ultron from enacting his terrible plans.,0,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,Action Adventure Sci-Fi,1-May-15,141,Joss Whedon,Chris Hemsworth,2277774,Robert Downey Jr.,7884478,Scarlett Johansson,0,7.4,499696,66,250000000,250000000,English,USA,PG-13,2.35
0.21,Harry Potter and the Half-Blood Prince,As Harry Potter begins his sixth year at Hogwarts he discovers an old book marked as the property of the Half-Blood Prince and begins to learn more about Lord Voldemort's dark past.,3,blood|book|love|potion|professor,Adventure Family Fantasy,15-Jul-09,153,David Yates,Alan Rickman,57891,Daniel Radcliffe,5726,Rupert Grint,0,7.5,344015,78,250000000,250000000,English,UK,PG,2.35
